server_name,year,count
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1995,74
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1996,39
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1997,87
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1998,64
Digital Access to Scholarship at Harvard (DASH) (Harvard University),1999,60
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2000,103
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2001,128
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2002,161
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2003,130
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2004,163
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2005,153
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2006,149
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2007,140
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2008,173
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2009,266
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2010,293
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2011,312
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2012,273
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2013,257
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2014,223
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2015,235
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2016,193
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2017,171
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2018,115
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2019,97
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2020,197
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2021,794
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2022,1168
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2023,1236
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2024,1237
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2025,667
E-LIS Repository,1990,14
E-LIS Repository,1991,14
E-LIS Repository,1992,18
E-LIS Repository,1993,13
E-LIS Repository,1994,22
E-LIS Repository,1995,47
E-LIS Repository,1996,57
E-LIS Repository,1997,83
E-LIS Repository,1998,75
E-LIS Repository,1999,141
E-LIS Repository,2000,176
E-LIS Repository,2001,250
E-LIS Repository,2002,344
E-LIS Repository,2003,432
E-LIS Repository,2004,541
E-LIS Repository,2005,570
E-LIS Repository,2006,677
E-LIS Repository,2007,652
E-LIS Repository,2008,572
E-LIS Repository,2009,611
E-LIS Repository,2010,470
E-LIS Repository,2011,514
E-LIS Repository,2012,493
E-LIS Repository,2013,462
E-LIS Repository,2014,356
E-LIS Repository,2015,253
E-LIS Repository,2016,289
E-LIS Repository,2017,180
E-LIS Repository,2018,148
E-LIS Repository,2019,132
E-LIS Repository,2020,169
E-LIS Repository,2021,80
E-LIS Repository,2022,17
E-LIS Repository,2023,32
E-LIS Repository,2024,95
E-LIS Repository,2025,55
ECSarXiv,2018,32
ECSarXiv,2019,67
ECSarXiv,2020,74
ECSarXiv,2021,23
ECSarXiv,2022,46
ECSarXiv,2023,21
ECSarXiv,2024,20
ECSarXiv,2025,14
EGUsphere,2022,916
EGUsphere,2023,2195
EGUsphere,2024,2842
EGUsphere,2025,4030
ELPUB (Universitat Wuppertal),2024,34
ELPUB (Universitat Wuppertal),2025,7
Earth and Space Science Open Archive,2018,319
Earth and Space Science Open Archive,2019,868
Earth and Space Science Open Archive,2020,3145
Earth and Space Science Open Archive,2021,3740
Earth and Space Science Open Archive,2022,2955
Earth and Space Science Open Archive,2023,2482
Earth and Space Science Open Archive,2024,2456
Earth and Space Science Open Archive,2025,3187
EarthArXiv,2017,200
EarthArXiv,2018,487
EarthArXiv,2019,639
EarthArXiv,2020,666
EarthArXiv,2021,817
EarthArXiv,2022,705
EarthArXiv,2023,841
EarthArXiv,2024,858
EarthArXiv,2025,1113
EasyChair preprint,2017,4
EasyChair preprint,2018,491
EasyChair preprint,2019,116
EasyChair preprint,2020,2
EcoEvoRxiv,2018,24
EcoEvoRxiv,2019,139
EcoEvoRxiv,2020,213
EcoEvoRxiv,2021,328
EcoEvoRxiv,2022,280
EcoEvoRxiv,2023,396
EcoEvoRxiv,2024,579
EcoEvoRxiv,2025,847
EconStor Preprints,1990,446
EconStor Preprints,1991,442
EconStor Preprints,1992,482
EconStor Preprints,1993,517
EconStor Preprints,1994,583
EconStor Preprints,1995,554
EconStor Preprints,1996,571
EconStor Preprints,1997,786
EconStor Preprints,1998,1213
EconStor Preprints,1999,1307
EconStor Preprints,2000,1609
EconStor Preprints,2001,1792
EconStor Preprints,2002,2027
EconStor Preprints,2003,2312
EconStor Preprints,2004,2456
EconStor Preprints,2005,2507
EconStor Preprints,2006,2598
EconStor Preprints,2007,2292
EconStor Preprints,2008,2589
EconStor Preprints,2009,2876
EconStor Preprints,2010,3096
EconStor Preprints,2011,3670
EconStor Preprints,2012,3357
EconStor Preprints,2013,3587
EconStor Preprints,2014,3840
EconStor Preprints,2015,3917
EconStor Preprints,2016,3641
EconStor Preprints,2017,3538
EconStor Preprints,2018,3328
EconStor Preprints,2019,2528
EconStor Preprints,2020,1940
EconStor Preprints,2021,1134
EconStor Preprints,2022,396
EconStor Preprints,2023,193
EconStor Preprints,2024,356
EconStor Preprints,2025,778
EdArXiv,2019,122
EdArXiv,2020,516
EdArXiv,2021,246
EdArXiv,2022,217
EdArXiv,2023,310
EdArXiv,2024,275
EdArXiv,2025,515
Electron Colloquium Comput Complex,2016,1
Electron Colloquium Comput Complex,2017,27
Electron Colloquium Comput Complex,2018,36
Electron Colloquium Comput Complex,2019,32
Electron Colloquium Comput Complex,2020,21
Electron Colloquium Comput Complex,2021,23
EmeRI,2020,8
Encyclopedia,2018,4
Encyclopedia,2019,34
Encyclopedia,2020,123
EnerarXiv,2020,199
EnerarXiv,2021,1
EnerarXiv,2022,1
F1000Research,2012,71
F1000Research,2013,294
F1000Research,2014,318
F1000Research,2015,422
F1000Research,2016,730
F1000Research,2017,742
F1000Research,2018,861
F1000Research,2019,803
F1000Research,2020,834
F1000Research,2021,900
F1000Research,2022,1178
F1000Research,2023,1280
F1000Research,2024,1207
F1000Research,2025,1028
FocUS Archive,2017,5
FocUS Archive,2018,35
FocUS Archive,2019,4
FocUS Archive,2020,1
FocUS Archive,2021,7
FocUS Archive,2022,2
FocUS Archive,2023,7
FocUS Archive,2024,10
FocUS Archive,2025,8
Frenxiv,2018,31
Frenxiv,2019,21
Frenxiv,2020,52
Gates Open Research,2017,17
Gates Open Research,2018,57
Gates Open Research,2019,119
Gates Open Research,2020,87
Gates Open Research,2021,67
Gates Open Research,2022,59
Gates Open Research,2023,54
Gates Open Research,2024,39
Gates Open Research,2025,3
HAL,1990,5245
HAL,1991,5523
HAL,1992,7061
HAL,1993,7237
HAL,1994,9016
HAL,1995,8994
HAL,1996,9830
HAL,1997,10014
HAL,1998,10472
HAL,1999,10660
HAL,2000,11576
HAL,2001,12004
HAL,2002,14130
HAL,2003,17256
HAL,2004,20136
HAL,2005,27398
HAL,2006,31798
HAL,2007,34561
HAL,2008,35385
HAL,2009,37569
HAL,2010,40833
HAL,2011,42778
HAL,2012,47798
HAL,2013,50124
HAL,2014,53389
HAL,2015,56737
HAL,2016,60240
HAL,2017,61471
HAL,2018,60944
HAL,2019,59897
HAL,2020,43815
HAL,2021,55704
HAL,2022,47654
HAL,2023,19656
HAL,2024,4782
HAL,2025,3601
HANS Publication PrePrints,2016,28
HANS Publication PrePrints,2017,36
HANS Publication PrePrints,2018,11
HRB Open Research,2018,28
HRB Open Research,2019,36
HRB Open Research,2020,95
HRB Open Research,2021,131
HRB Open Research,2022,81
HRB Open Research,2023,76
HRB Open Research,2024,76
HRB Open Research,2025,124
Humanities Commons CORE,2015,166
Humanities Commons CORE,2016,325
Humanities Commons CORE,2017,1249
Humanities Commons CORE,2018,974
Humanities Commons CORE,2019,1157
Humanities Commons CORE,2020,1256
Humanities Commons CORE,2021,1366
Humanities Commons CORE,2022,1405
Humanities Commons CORE,2023,4179
Humanities Commons CORE,2024,2879
Humanities Commons CORE,2025,1787
IACR Cryptology ePrint Archive,1996,6
IACR Cryptology ePrint Archive,1997,5
IACR Cryptology ePrint Archive,1998,9
IACR Cryptology ePrint Archive,1999,10
IACR Cryptology ePrint Archive,2000,38
IACR Cryptology ePrint Archive,2001,86
IACR Cryptology ePrint Archive,2002,144
IACR Cryptology ePrint Archive,2003,192
IACR Cryptology ePrint Archive,2004,279
IACR Cryptology ePrint Archive,2005,376
IACR Cryptology ePrint Archive,2006,367
IACR Cryptology ePrint Archive,2007,366
IACR Cryptology ePrint Archive,2008,416
IACR Cryptology ePrint Archive,2009,490
IACR Cryptology ePrint Archive,2010,503
IACR Cryptology ePrint Archive,2011,566
IACR Cryptology ePrint Archive,2012,534
IACR Cryptology ePrint Archive,2013,623
IACR Cryptology ePrint Archive,2014,746
IACR Cryptology ePrint Archive,2015,888
IACR Cryptology ePrint Archive,2016,718
IACR Cryptology ePrint Archive,2017,617
IACR Cryptology ePrint Archive,2018,591
IACR Cryptology ePrint Archive,2019,643
IACR Cryptology ePrint Archive,2020,743
IACR Cryptology ePrint Archive,2021,660
IACR Cryptology ePrint Archive,2023,20
IACR Cryptology ePrint Archive,2024,7
INA-Rxiv,2017,1467
INA-Rxiv,2018,4105
INA-Rxiv,2019,8558
INA-Rxiv,2020,1006
IndiaRxiv,2019,40
IndiaRxiv,2020,60
IndiaRxiv,2023,3
IndiaRxiv,2024,2
IndiaRxiv,2025,1
JMIR Preprints,2013,1
JMIR Preprints,2014,1
JMIR Preprints,2015,5
JMIR Preprints,2016,45
JMIR Preprints,2017,1112
JMIR Preprints,2018,2515
JMIR Preprints,2019,2608
JMIR Preprints,2020,5372
JMIR Preprints,2021,4713
JMIR Preprints,2022,4423
JMIR Preprints,2023,5349
JMIR Preprints,2024,5081
JMIR Preprints,2025,4644
Jxiv,2022,97
Jxiv,2023,165
Jxiv,2024,208
Jxiv,2025,291
Jxiv,2026,122
Keldysh Institute Preprints,1981,1
Keldysh Institute Preprints,1984,1
Keldysh Institute Preprints,2016,142
Keldysh Institute Preprints,2017,141
Keldysh Institute Preprints,2018,271
Keldysh Institute Preprints,2019,152
Keldysh Institute Preprints,2020,128
Keldysh Institute Preprints,2021,105
Keldysh Institute Preprints,2022,101
Keldysh Institute Preprints,2023,74
Keldysh Institute Preprints,2024,82
Keldysh Institute Preprints,2025,1
LIS Scholarship Archive,2017,53
LIS Scholarship Archive,2018,77
LIS Scholarship Archive,2019,123
LIS Scholarship Archive,2020,57
LIS Scholarship Archive,2021,1
LIS Scholarship Archive,2024,7
LIS Scholarship Archive,2025,10
LSE Research Online Documents on Economics,1997,2
LSE Research Online Documents on Economics,1998,1
LSE Research Online Documents on Economics,1999,2
LSE Research Online Documents on Economics,2000,1
LSE Research Online Documents on Economics,2001,3
LSE Research Online Documents on Economics,2002,3
LSE Research Online Documents on Economics,2003,5
LSE Research Online Documents on Economics,2004,4
LSE Research Online Documents on Economics,2005,1
LSE Research Online Documents on Economics,2006,2
LSE Research Online Documents on Economics,2007,3
LSE Research Online Documents on Economics,2008,2
LSE Research Online Documents on Economics,2009,8
LSE Research Online Documents on Economics,2010,3
LSE Research Online Documents on Economics,2011,6
LSE Research Online Documents on Economics,2012,5
LSE Research Online Documents on Economics,2013,7
LSE Research Online Documents on Economics,2014,6
LSE Research Online Documents on Economics,2015,4
LSE Research Online Documents on Economics,2016,6
LSE Research Online Documents on Economics,2017,6
LSE Research Online Documents on Economics,2018,5
LSE Research Online Documents on Economics,2019,6
LSE Research Online Documents on Economics,2020,11
LSE Research Online Documents on Economics,2021,8
LatArXiv,2024,42
LatArXiv,2025,73
Law Archive,2016,17
Law Archive,2017,332
Law Archive,2018,497
Law Archive,2019,187
Law Archive,2020,166
Law Archive,2021,14
Law Archive,2023,10
Law Archive,2024,30
Law Archive,2025,108
MNI Open Research,2017,3
MNI Open Research,2018,6
MNI Open Research,2019,2
MNI Open Research,2020,2
MarXiv,2017,16
MarXiv,2018,329
MarXiv,2019,111
MarXiv,2020,20
MarXiv,2024,2
MarXiv,2025,2
MediArXiv,2019,65
MediArXiv,2020,39
MediArXiv,2021,49
MediArXiv,2022,40
MediArXiv,2023,33
MediArXiv,2024,20
MediArXiv,2025,33
MetaArXiv,2017,16
MetaArXiv,2018,21
MetaArXiv,2019,51
MetaArXiv,2020,119
MetaArXiv,2021,107
MetaArXiv,2022,143
MetaArXiv,2023,88
MetaArXiv,2024,75
MetaArXiv,2025,100
MindRxiv,2017,61
MindRxiv,2018,59
MindRxiv,2019,64
MindRxiv,2020,29
MindRxiv,2021,42
MindRxiv,2022,25
MindRxiv,2023,1
MindRxiv,2024,1
Munich Personal RePEc Archive,1990,17
Munich Personal RePEc Archive,1991,37
Munich Personal RePEc Archive,1992,41
Munich Personal RePEc Archive,1993,49
Munich Personal RePEc Archive,1994,61
Munich Personal RePEc Archive,1995,48
Munich Personal RePEc Archive,1996,53
Munich Personal RePEc Archive,1997,76
Munich Personal RePEc Archive,1998,89
Munich Personal RePEc Archive,1999,105
Munich Personal RePEc Archive,2000,156
Munich Personal RePEc Archive,2001,168
Munich Personal RePEc Archive,2002,181
Munich Personal RePEc Archive,2003,220
Munich Personal RePEc Archive,2004,238
Munich Personal RePEc Archive,2005,358
Munich Personal RePEc Archive,2006,543
Munich Personal RePEc Archive,2007,865
Munich Personal RePEc Archive,2008,1190
Munich Personal RePEc Archive,2009,1746
Munich Personal RePEc Archive,2010,2141
Munich Personal RePEc Archive,2011,2995
Munich Personal RePEc Archive,2012,3510
Munich Personal RePEc Archive,2013,3491
Munich Personal RePEc Archive,2014,4512
Munich Personal RePEc Archive,2015,4838
Munich Personal RePEc Archive,2016,5045
Munich Personal RePEc Archive,2017,5181
Munich Personal RePEc Archive,2018,4871
Munich Personal RePEc Archive,2019,4763
Munich Personal RePEc Archive,2020,4615
Munich Personal RePEc Archive,2021,7327
Munich Personal RePEc Archive,2022,6151
Munich Personal RePEc Archive,2023,2051
Munich Personal RePEc Archive,2024,42
Munich Personal RePEc Archive,2025,3
National Bureau of Economic Research,1990,20
National Bureau of Economic Research,1991,16
National Bureau of Economic Research,1992,19
National Bureau of Economic Research,1993,26
National Bureau of Economic Research,1994,27
National Bureau of Economic Research,1995,31
National Bureau of Economic Research,1996,35
National Bureau of Economic Research,1997,51
National Bureau of Economic Research,1998,49
National Bureau of Economic Research,1999,55
National Bureau of Economic Research,2000,58
National Bureau of Economic Research,2001,57
National Bureau of Economic Research,2002,51
National Bureau of Economic Research,2003,74
National Bureau of Economic Research,2004,73
National Bureau of Economic Research,2005,82
National Bureau of Economic Research,2006,73
National Bureau of Economic Research,2007,112
National Bureau of Economic Research,2008,96
National Bureau of Economic Research,2009,102
National Bureau of Economic Research,2010,149
National Bureau of Economic Research,2011,117
National Bureau of Economic Research,2012,87
National Bureau of Economic Research,2013,67
National Bureau of Economic Research,2014,63
National Bureau of Economic Research,2015,56
National Bureau of Economic Research,2021,49
National Bureau of Economic Research,2023,2
Nature Precedings,2006,4
Nature Precedings,2007,245
Nature Precedings,2008,576
Nature Precedings,2009,655
Nature Precedings,2010,712
Nature Precedings,2011,778
Nature Precedings,2012,230
NewAddictionsX,2024,2
NewAddictionsX,2025,2
NutriXiv,2017,13
NutriXiv,2018,13
NutriXiv,2019,27
NutriXiv,2020,31
NutriXiv,2024,1
Open Research Africa,2018,28
Open Research Africa,2019,31
Open Research Africa,2020,36
Open Research Africa,2021,31
Open Research Africa,2022,18
Open Research Africa,2023,8
Open Research Africa,2024,7
Open Research Africa,2025,21
Open Research Europe,2021,147
Open Research Europe,2022,140
Open Research Europe,2023,210
Open Research Europe,2024,267
Open Research Europe,2025,357
Open Science Framework,2016,238
Open Science Framework,2017,3197
Open Science Framework,2018,4869
Open Science Framework,2019,6792
Open Science Framework,2020,12789
Open Science Framework,2021,18079
Open Science Framework,2022,20049
Open Science Framework,2023,19456
Open Science Framework,2024,6356
Open Science Framework,2025,5790
Organic Eprints,1990,1
Organic Eprints,1991,2
Organic Eprints,1992,2
Organic Eprints,1993,4
Organic Eprints,1994,5
Organic Eprints,1995,13
Organic Eprints,1996,13
Organic Eprints,1997,20
Organic Eprints,1998,33
Organic Eprints,1999,54
Organic Eprints,2000,166
Organic Eprints,2001,207
Organic Eprints,2002,485
Organic Eprints,2003,603
Organic Eprints,2004,532
Organic Eprints,2005,722
Organic Eprints,2006,714
Organic Eprints,2007,607
Organic Eprints,2008,803
Organic Eprints,2009,611
Organic Eprints,2010,531
Organic Eprints,2011,729
Organic Eprints,2012,511
Organic Eprints,2013,806
Organic Eprints,2014,742
Organic Eprints,2015,722
Organic Eprints,2016,501
Organic Eprints,2017,683
Organic Eprints,2018,947
Organic Eprints,2019,900
Organic Eprints,2020,657
Organic Eprints,2021,366
Organic Eprints,2022,14
Organic Eprints,2023,27
Organic Eprints,2024,17
Organic Eprints,2025,4
Oroboros Instruments,2019,8
Oroboros Instruments,2020,1
Oroboros Instruments,2021,1
Oroboros Instruments,2022,18
Oroboros Instruments,2023,10
Oroboros Instruments,2024,9
Oroboros Instruments,2025,21
PREPRINTS.RU,2019,9
PREPRINTS.RU,2020,116
PREPRINTS.RU,2021,127
PREPRINTS.RU,2022,145
PREPRINTS.RU,2023,173
PREPRINTS.RU,2024,233
PREPRINTS.RU,2025,546
PaleorXiv,2017,1
PaleorXiv,2018,37
PaleorXiv,2019,37
PaleorXiv,2020,20
PaleorXiv,2021,36
PaleorXiv,2022,4
PaleorXiv,2023,8
PaleorXiv,2024,10
PaleorXiv,2025,13
PeerJ Preprints,2013,183
PeerJ Preprints,2014,583
PeerJ Preprints,2015,845
PeerJ Preprints,2016,1080
PeerJ Preprints,2017,841
PeerJ Preprints,2018,1071
PeerJ Preprints,2019,560
PhilSci-Archive,1990,2
PhilSci-Archive,1991,1
PhilSci-Archive,1994,2
PhilSci-Archive,1995,2
PhilSci-Archive,1996,4
PhilSci-Archive,1997,8
PhilSci-Archive,1998,9
PhilSci-Archive,1999,6
PhilSci-Archive,2000,22
PhilSci-Archive,2001,64
PhilSci-Archive,2002,76
PhilSci-Archive,2003,64
PhilSci-Archive,2004,57
PhilSci-Archive,2005,56
PhilSci-Archive,2006,82
PhilSci-Archive,2007,124
PhilSci-Archive,2008,100
PhilSci-Archive,2009,126
PhilSci-Archive,2010,97
PhilSci-Archive,2011,87
PhilSci-Archive,2012,98
PhilSci-Archive,2013,122
PhilSci-Archive,2014,150
PhilSci-Archive,2015,101
PhilSci-Archive,2016,139
PhilSci-Archive,2017,122
PhilSci-Archive,2018,160
PhilSci-Archive,2019,137
PhilSci-Archive,2020,171
PhilSci-Archive,2021,115
PhilSci-Archive,2022,10
PhilSci-Archive,2023,3
PhilSci-Archive,2024,1
PhilSci-Archive,2025,21
PoolText,2019,79
Preprints.org,2016,854
Preprints.org,2017,1878
Preprints.org,2018,5339
Preprints.org,2019,3420
Preprints.org,2020,6166
Preprints.org,2021,7000
Preprints.org,2022,5424
Preprints.org,2023,19993
Preprints.org,2024,26102
Preprints.org,2025,28025
Prepublicaciones OpenCiencia,2020,4
Prepublicaciones OpenCiencia,2021,3
PropylaeumDok,2016,342
PropylaeumDok,2017,3335
PropylaeumDok,2018,416
PropylaeumDok,2019,375
PropylaeumDok,2020,370
PropylaeumDok,2021,209
PropylaeumDok,2022,371
PropylaeumDok,2023,292
PropylaeumDok,2024,599
PropylaeumDok,2025,355
PsyArXiv,2016,195
PsyArXiv,2017,411
PsyArXiv,2018,1584
PsyArXiv,2019,3555
PsyArXiv,2020,6288
PsyArXiv,2021,6638
PsyArXiv,2022,6238
PsyArXiv,2023,6736
PsyArXiv,2024,7053
PsyArXiv,2025,8560
Qeios,2018,35
Qeios,2019,940
Qeios,2020,102372
Qeios,2021,332
Qeios,2022,844
Qeios,2023,2315
Qeios,2024,3171
Qeios,2025,869
RePEc: Research Papers in Economics,1990,3375
RePEc: Research Papers in Economics,1991,3913
RePEc: Research Papers in Economics,1992,4168
RePEc: Research Papers in Economics,1993,4160
RePEc: Research Papers in Economics,1994,4191
RePEc: Research Papers in Economics,1995,5069
RePEc: Research Papers in Economics,1996,5358
RePEc: Research Papers in Economics,1997,5625
RePEc: Research Papers in Economics,1998,6420
RePEc: Research Papers in Economics,1999,7151
RePEc: Research Papers in Economics,2000,8052
RePEc: Research Papers in Economics,2001,8156
RePEc: Research Papers in Economics,2002,9253
RePEc: Research Papers in Economics,2003,11230
RePEc: Research Papers in Economics,2004,13202
RePEc: Research Papers in Economics,2005,15119
RePEc: Research Papers in Economics,2006,15746
RePEc: Research Papers in Economics,2007,15745
RePEc: Research Papers in Economics,2008,16738
RePEc: Research Papers in Economics,2009,17791
RePEc: Research Papers in Economics,2010,18805
RePEc: Research Papers in Economics,2011,19317
RePEc: Research Papers in Economics,2012,18981
RePEc: Research Papers in Economics,2013,19881
RePEc: Research Papers in Economics,2014,20451
RePEc: Research Papers in Economics,2015,20510
RePEc: Research Papers in Economics,2016,19256
RePEc: Research Papers in Economics,2017,14526
RePEc: Research Papers in Economics,2018,11937
RePEc: Research Papers in Economics,2019,10126
RePEc: Research Papers in Economics,2020,11041
RePEc: Research Papers in Economics,2021,6982
RePEc: Research Papers in Economics,2022,528
